unique_id;station;station_new;Transect;depth;pressure;t190C;sal00;sbeox0ML/L;sigma;Cruise;Lat ;Lon;Bot.Depth [m];Nitrate;Phosphate;Silicate;Distance_from_shore;Profile feature;HPLC_ID;Microscopy ID;Flow cyt phyto ID;Diatoms;Dinoflagellates;Cryptophytes;Pelagophytes;T4haptophytes;Prasinophytes;Chlorophytes;Synechococcus;Chl_c3;Peri;19-But;Fuco;Neox;Pras;Viola;Asta;Allox;Zea;Lut;Chl_b;div_Chl_a;Chl_a
43_30;43;T3_3;Transect 3;30;30.16214;16.8284;35.0722;0.85822;25.6026;MSM80;-12;-77.666;180;28.615;2.051;18.015;58;NA;146;64;140;126.362793;11.11236572;73.4822998;8.121447563;14.18908119;9.220909119;0.508086741;19.93364906;10.9613;8.2715;10.8664;102.7367;2.2478;0;5.6116;6.5155;14.7979;15.0923;0;10.0286;4.4332;262.9306
45_25;45;T3_4;Transect 3;25;25.13587;17.0539;35.0819;1.14135;25.5613;MSM80;-11.999;-77.833;460;28.786;2.007;12.596;76;NA;150;67;144;212.1898651;9.392090797;146.0288086;13.85612774;77.52354431;63.77987289;0;33.74542999;51.968;9.9571;21.2943;223.2646;7.0456;19.3589;4.1639;5.7546;31.2579;33.2298;0;68.4847;24.8408;556.5158
45_35;45;T3_4;Transect 3;35;35.19501;16.1908;35.066;0.68525;25.7482;MSM80;-11.999;-77.833;460;30.079;2.122;15.597;76;NA;151;NA;145;96.28276825;9.633918762;38.21731186;10.84005356;28.34319878;22.92811966;0;28.7726593;22.3088;9.1534;16.3337;113.7822;4.0847;5.7737;1.2501;4.74;9.1515;26.0489;0;28.2384;13.2386;235.018
46_22_30;46_22;T3_5;Transect 3;30;30.15836;17.1506;35.1149;0.90655;25.561;MSM80;-12;-78;1613;31.607;2.184;14.812;95;NA;159;70;150;55.7560463;8.283510208;40.37202835;9.054149628;0;22.91570473;0;11.68346977;0;6.1785;11.8533;49.6021;1.8943;4.9341;0.9651;3.4242;8.1762;12.5615;0;26.6219;15.095;148.0649
53_30;53;T4_7;Transect 4;30;30.14736;17.9352;35.1558;2.41959;25.3977;MSM80;-14.499;-77.5;4567;21.338;2.318;9.021;170;NA;190;78;180;273.4193726;27.34744644;45.53000641;4.535140991;155.4590759;31.45738983;4.465698242;54.39513779;94.8231;22.2192;11.5697;280.4064;3.127;13.5003;2.5163;22.198;10.7428;66.079;4.6568;38.9267;102.9537;596.6093
56_3_30;56_3;T4_6;Transect 4;30;30.14261;17.5183;35.2052;3.04518;25.5461;MSM80;-14.496;-77.002;6117;16.924;1.722;4.997;112;NA;196;NA;186;180.8743744;10.93323135;91.300354;27.28856277;0;43.42718506;0.802832663;19.99386978;0;6.8427;32.6068;115.9244;3.4321;10.3272;2.275;4.2961;16.4698;15.8588;1.2094;41.2579;9.0741;374.6204
58_25;58;T4_5;Transect 4;25;25.1343;18.8095;35.1542;2.5186;25.1693;MSM80;-14.499;-76.667;2649;17.742;1.78;4.235;75;NA;202;82;192;333.4943237;335.5603027;296.4605408;30.12380028;478.4075012;136.8457489;7.803251743;64.18669128;266.8975;211.6363;50.7856;341.2503;8.7777;64.7455;7.6338;16.5346;55.5251;49.9373;9.221;94.8097;17.3421;1682.8822
60_30;60;T4_4;Transect 4;30;30.15948;17.2287;35.2027;3.42798;25.6049;MSM80;-14.499;-76.5;1420;15.741;1.62;5.442;57;NA;209;85;198;37.97146988;33.92136002;51.028759;11.40909767;78.63553619;63.89710999;3.058196545;23.58590508;52.5687;26.2769;18.3981;84.6263;6.9851;16.3211;3.3596;9.7892;11.6594;34.2895;3.8737;77.6995;56.3497;303.5074
63_30;63;T4_2;Transect 4;30;30.41572;16.0992;35.0475;0.18251;25.7608;MSM80;-14.5;-76.167;131;28.076;2.507;18.554;28;NA;215;89;204;23.31275177;0;14.04216576;3.875891209;1.739728212;7.209785938;0;26.63353157;2.9602;0;5.8642;35.7915;1.7674;3.2736;0;12.9597;3.6225;21.1493;0;7.3565;0;76.8139
65_30;65;T4_1;Transect 4;30;30.17762;16.2942;35.0468;0.15655;25.7164;MSM80;-14.5;-76.019;97;28.219;2.546;16.936;10;NA;221;92;210;104.4505692;447.8671265;72.99637604;5.45203352;8.116696358;31.22712708;1.514386654;52.84037781;6.7463;289.1014;7.1233;93.8258;4.9035;0;1.9992;12.8408;14.4899;35.7246;1.4457;40.8731;0;724.4647
66_25;66;T4_3;Transect 4;25;25.1531;17.9726;35.1567;2.51771;25.3881;MSM80;-14.499;-76.334;228;19.425;1.806;8.881;40;NA;227;95;216;789.7941284;420.4042969;306.7491455;10.1459837;108.7528;168.4411163;1.83084321;75.17034149;59.0968;253.9725;14.8364;482.0625;15.3721;31.8402;11.6989;12.3653;54.4325;54.3894;2.8845;163.0304;16.8719;1881.2884
67_25;67;T5_1;Transect 5;25;25.14872;17.2553;35.0712;0.84421;25.5081;MSM80;-15.299;-75.334;133;25.559;2.373;10.941;8;NA;233;98;222;436.033844;57.78177261;164.6163788;17.56227112;28.02870941;36.95052338;0;51.3098526;21.4079;38.846;22.6516;316.4258;4.7766;8.6605;6.039;15.9797;31.9863;34.9376;0;35.166;0;792.2834
74_25;74;T5_5;Transect 5;25;25.13329;18.5495;35.1198;1.55239;25.2288;MSM80;-15.3;-76.501;3835;29.145;2.169;7.507;140;NA;276;113;264;457.543457;158.4650269;102.9704285;16.65244102;0;13.8027029;8.766183853;43.52228928;0;112.6534;23.0826;390.6068;0;6.2643;2.5576;19.5704;22.7468;32.9778;7.6733;18.7706;0;801.7224
